,index,promptID,pairID,genre,sentence1_binary_parse,sentence2_binary_parse,sentence1_parse,sentence2_parse,sentence1,sentence2,label1,gold_label
381,361920,116337,116337n,telephone,( ( ( okay uh ) ( first ( um i ) ) ) ( need ( ( to ( know uh ) ) ( ( how how ) ( ( do you ) ( ( feel ( about uh ) ) ( about ( ( sending um ) ( ( an ( elderly ( uh ( family member ) ) ) ) ( to ( a ( nursing home ) ) ) ) ) ) ) ) ) ) ) ),( ( ( One thing ) ( I ( have ( to ask ) ) ) ) ( ( is ( how ( you ( feel ( about ( ( a relative ) ( being ( sent ( to ( a ( nursing home ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (ADJP (JJ okay) (JJ uh)) (JJ first) (NN um) (NNS i)) (VP (VBP need) (S (S (VP (TO to) (VP (VB know) (INTJ (UH uh))))) (SBARQ (WHADVP (WRB how) (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB feel) (NP (QP (RB about) (CD uh))) (PP (IN about) (S (VP (VBG sending) (NP (NN um)) (NP (NP (DT an) (JJ elderly) (JJ uh) (NN family) (NN member)) (PP (TO to) (NP (DT a) (NN nursing) (NN home)))))))))))))),(ROOT (S (NP (NP (CD One) (NN thing)) (SBAR (S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB ask)))))))) (VP (VBZ is) (SBAR (WHADVP (WRB how)) (S (NP (PRP you)) (VP (VBP feel) (PP (IN about) (NP (NP (DT a) (NN relative)) (VP (VBG being) (VP (VBN sent) (PP (TO to) (NP (DT a) (NN nursing) (NN home))))))))))) (. .))),okay uh first um i need to know uh how how do you feel about uh about sending um an elderly uh family member to a nursing home,One thing I have to ask is how you feel about a relative being sent to a nursing home.,neutral,neutral
17,54955,84302,84302e,telephone,( yeah ( ( well ( the Cowboys ) ) ( were ( ( ( America 's ) ( football team ) ) ( there ( ( 's ( ( no question ) ( about that ) ) ) so ) ) ) ) ) ),( ( ( America 's ) team ) ( ( ( is not ) ( up ( for debate ) ) ) ( because ( it ( ( 's obviously ) ( the Cardinals ) ) ) ) ) ),(ROOT (S (VP (VB yeah) (SBAR (S (NP (RB well) (DT the) (NNPS Cowboys)) (VP (VBD were) (NP (NP (NP (NNP America) (POS 's)) (NN football) (NN team)) (SBAR (S (NP (EX there)) (VP (VBZ 's) (NP (NP (DT no) (NN question)) (PP (IN about) (NP (DT that)))) (ADVP (RB so)))))))))))),(ROOT (S (NP (NP (NNP America) (POS 's)) (NN team)) (VP (VBZ is) (RB not) (ADVP (RB up) (PP (IN for) (NP (NN debate)))) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB obviously)) (NP (DT the) (NNPS Cardinals)))))))),yeah well the Cowboys were America's football team there's no question about that so,America's team is not up for debate because it's obviously the Cardinals,entailment,entailment
227,147109,111770,111770n,slate,"( ( The ( new law ) ) ( ( ( ( ( also ( ( ( ( makes it ) easier ) ( for broadcasters ) ) ( to ( renew ( their licenses ) ) ) ) ) , ) and ) ( requires ( ( TV manufacturers ) ( to ( install ( parent-friendly V-chips ) ) ) ) ) ) . ) )",( Broadcasters ( ( can ( ( ( renew ( their licenses ) ) easier ) ( with ( this ( new law ) ) ) ) ) . ) ),"(ROOT (S (NP (DT The) (JJ new) (NN law)) (VP (VP (ADVP (RB also)) (VBZ makes) (NP (PRP it)) (ADVP (RBR easier)) (PP (IN for) (NP (NNS broadcasters))) (S (VP (TO to) (VP (VB renew) (NP (PRP$ their) (NNS licenses)))))) (, ,) (CC and) (VP (VBZ requires) (S (NP (NN TV) (NNS manufacturers)) (VP (TO to) (VP (VB install) (NP (JJ parent-friendly) (NNS V-chips))))))) (. .)))",(ROOT (S (NP (NNS Broadcasters)) (VP (MD can) (VP (VB renew) (NP (PRP$ their) (NNS licenses)) (ADVP (RBR easier)) (PP (IN with) (NP (DT this) (JJ new) (NN law))))) (. .))),"The new law also makes it easier for broadcasters to renew their licenses, and requires TV manufacturers to install parent-friendly V-chips.",Broadcasters can renew their licenses easier with this new law.,neutral,neutral
133,356677,62704,62704e,government,"( ( To ( ( address ( ( ( VBA 's ) ( performance expectation ) ) ( for ( senior executives ) ) ) ) ( to ( ( ( ( ( ( ( ( ( ( ( ( ensure ( that ( plans ( ( exist and ) ( ( are adequately ) ( implemented ( to recruit ) ) ) ) ) ) ) , ) train ) , ) retain ) , ) motivate ) , ) empower ) , ) and ) ( advance employees ) ) ) ) ) ( , ( ( ( the ( senior executive ) ) ( in VBA ) ) ( ( 's ( ( Manila ( , ( Philippines ( , ( Regional ( Office ( and ( Outpatient Clinic ) ) ) ) ) ) ) ) ( ( conducted ( focus groups ) ) ( to ( identify ( actions ( needed ( to ( respond ( to ( ( the results ) ( of ( the ( 1999 ( employee survey ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) ) ) )",( ( The ( VBA executives ) ) ( ( are ( planning ( to ( expand ( to ( south ( east asia ) ) ) ) ) ) ) . ) ),"(ROOT (S (S (VP (TO To) (VP (VB address) (NP (NP (NP (NNP VBA) (POS 's)) (NN performance) (NN expectation)) (PP (IN for) (NP (JJ senior) (NNS executives)))) (S (VP (TO to) (VP (VP (VB ensure) (SBAR (IN that) (S (NP (NNS plans)) (VP (VP (VBP exist)) (CC and) (VP (VBP are) (ADVP (RB adequately)) (VP (VBN implemented) (PP (TO to) (NP (NN recruit))))))))) (, ,) (VP (VB train)) (, ,) (VP (VB retain)) (, ,) (VP (VB motivate)) (, ,) (VP (VB empower)) (, ,) (CC and) (VP (VB advance) (NP (NNS employees))))))))) (, ,) (NP (NP (DT the) (JJ senior) (NN executive)) (PP (IN in) (NP (NNP VBA)))) (VP (VBZ 's) (NP (NP (NNP Manila) (, ,) (NNP Philippines) (, ,) (NNP Regional) (NNP Office) (CC and) (NNP Outpatient) (NNP Clinic)) (VP (VBN conducted) (NP (NN focus) (NNS groups)) (S (VP (TO to) (VP (VB identify) (NP (NP (NNS actions)) (VP (VBN needed) (S (VP (TO to) (VP (VB respond) (PP (TO to) (NP (NP (DT the) (NNS results)) (PP (IN of) (NP (DT the) (CD 1999) (NN employee) (NN survey)))))))))))))))) (. .)))",(ROOT (S (NP (DT The) (NNP VBA) (NNS executives)) (VP (VBP are) (VP (VBG planning) (S (VP (TO to) (VP (VB expand) (PP (TO to) (NP (JJ south) (JJ east) (NN asia)))))))) (. .))),"To address VBA's performance expectation for senior executives to ensure that plans exist and are adequately implemented to recruit, train, retain, motivate, empower, and advance employees, the senior executive in VBA's Manila, Philippines, Regional Office and Outpatient Clinic conducted focus groups to identify actions needed to respond to the results of the 1999 employee survey.",The VBA executives are planning to expand to south east asia.,entailment,entailment
350,391422,88310,88310n,government,"( ( Where ( ( ( an ( excepting provision ) ) ( in ( a statute ) ) ) ( is ( found unconstitutional ) ) ) ) ( , ( ( courts ( very generally ) ) ( ( hold ( ( ( ( that ( this ( ( does not ) ( work ( ( ( an enlargement ) ( of ( ( the ( ( scope or ) operation ) ) ( of ( other provisions ) ) ) ) ) ( ( with which ) ( ( that provision ) ( was enacted ) ) ) ) ) ) ) ) , ) and ) ( which ( it ( was ( intended ( to ( ( qualify or ) restrain ) ) ) ) ) ) ) ) . ) ) ) )","( ( If ( something ( is unconstitutional ) ) ) ( , ( courts ( ( almost always ) ( ( say ( it ( ( does n't ) ( work ( as ( ( an enlargement ) ( of ( the scope ) ) ) ) ) ) ) ) . ) ) ) ) )","(ROOT (S (SBAR (WHADVP (WRB Where)) (S (NP (NP (DT an) (VBG excepting) (NN provision)) (PP (IN in) (NP (DT a) (NN statute)))) (VP (VBZ is) (VP (VBN found) (S (ADJP (JJ unconstitutional))))))) (, ,) (NP (NP (NNS courts)) (ADJP (RB very) (RB generally))) (VP (VBP hold) (SBAR (SBAR (IN that) (S (NP (DT this)) (VP (VBZ does) (RB not) (VP (VB work) (NP (NP (DT an) (NN enlargement)) (PP (IN of) (NP (NP (DT the) (NN scope) (CC or) (NN operation)) (PP (IN of) (NP (JJ other) (NNS provisions))))) (SBAR (WHPP (IN with) (WHNP (WDT which))) (S (NP (DT that) (NN provision)) (VP (VBD was) (VP (VBN enacted)))))))))) (, ,) (CC and) (SBAR (WHNP (WDT which)) (S (NP (PRP it)) (VP (VBD was) (VP (VBN intended) (S (VP (TO to) (VP (VB qualify) (CC or) (VB restrain)))))))))) (. .)))","(ROOT (S (SBAR (IN If) (S (NP (NN something)) (VP (VBZ is) (ADJP (JJ unconstitutional))))) (, ,) (NP (NNS courts)) (ADVP (RB almost) (RB always)) (VP (VBP say) (SBAR (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB work) (PP (IN as) (NP (NP (DT an) (NN enlargement)) (PP (IN of) (NP (DT the) (NN scope)))))))))) (. .)))","Where an excepting provision in a statute is found unconstitutional, courts very generally hold that this does not work an enlargement of the scope or operation of other provisions with which that provision was enacted, and which it was intended to qualify or restrain.","If something is unconstitutional, courts almost always say it doesn't work as an enlargement of the scope.",neutral,neutral
303,209764,119759,119759n,travel,( ( ( The ( best way ) ) ( to ( visit ( ( the Mount ) ( of Olives ) ) ) ) ) ( ( is ( to ( ( ( start ( at ( the top ) ) ) and ) ( ( work ( your way ) ) down ) ) ) ) . ) ),( It ( ( is ( suggested ( that ( ( the ( best method ) ) ( is ( traverse ( ( ( the Mount ) ( of Olives ) ) ( is ( to ( ( go down ) ( from ( the top ) ) ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT The) (JJS best) (NN way)) (SBAR (S (VP (TO to) (VP (VB visit) (NP (NP (DT the) (NNP Mount)) (PP (IN of) (NP (NNP Olives))))))))) (VP (VBZ is) (S (VP (TO to) (VP (VP (VB start) (PP (IN at) (NP (DT the) (NN top)))) (CC and) (VP (VB work) (NP (PRP$ your) (NN way)) (PRT (RP down))))))) (. .))),(ROOT (S (NP (PRP It)) (VP (VBZ is) (VP (VBN suggested) (SBAR (IN that) (S (NP (DT the) (JJS best) (NN method)) (VP (VBZ is) (ADJP (JJ traverse) (SBAR (S (NP (NP (DT the) (NNP Mount)) (PP (IN of) (NP (NNP Olives)))) (VP (VBZ is) (S (VP (TO to) (VP (VB go) (PRT (RP down)) (PP (IN from) (NP (DT the) (NN top))))))))))))))) (. .))),The best way to visit the Mount of Olives is to start at the top and work your way down.,It is suggested that the best method is traverse the Mount of Olives is to go down from the top.,neutral,neutral
268,312617,41904,41904e,fiction,( There ( ( ( was ( ( an altar ) ( of ( black stone ) ) ) ) ( with ( ( three skulls ) ( on it ) ) ) ) . ) ),( ( The skulls ) ( ( were sacrifices ) . ) ),(ROOT (S (NP (EX There)) (VP (VBD was) (NP (NP (DT an) (NN altar)) (PP (IN of) (NP (JJ black) (NN stone)))) (PP (IN with) (NP (NP (CD three) (NNS skulls)) (PP (IN on) (NP (PRP it)))))) (. .))),(ROOT (S (NP (DT The) (NNS skulls)) (VP (VBD were) (NP (NNS sacrifices))) (. .))),There was an altar of black stone with three skulls on it.,The skulls were sacrifices.,entailment,entailment
87,46885,79023,79023n,telephone,( so ( ( lots ( of ( times ( i ( ( 'll just ) ( ( play cassettes ) ( instead ( of ( ( ( ( listening ( to ( the radio ) ) ) actually ) but ) ( ( ( uh most ) ( of ( my cassettes ) ) ) ( ( i ( guess i ) ) ( ( do n't ) i ) ) ) ) ) ) ) ) ) ) ) ) ( ( do n't ) ( like ( hard rock ) ) ) ) ),( ( All ( of ( my cassettes ) ) ) ( ( ( are definitely ) ( hard rock ) ) . ) ),(ROOT (SBAR (IN so) (S (NP (NP (NNS lots)) (PP (IN of) (NP (NP (NNS times)) (SBAR (S (NP (FW i)) (VP (MD 'll) (ADVP (RB just)) (VP (VB play) (NP (NNS cassettes)) (PP (RB instead) (IN of) (S (VP (VP (VBG listening) (PP (TO to) (NP (DT the) (NN radio))) (ADVP (RB actually))) (CC but) (VP (VBG uh) (ADVP (RBS most)) (PP (IN of) (NP (PRP$ my) (NNS cassettes))) (NP (NP (FW i) (FW guess) (FW i)) (SBAR (S (VP (VBP do) (RB n't) (VP (VB i))))))))))))))))) (VP (VBP do) (RB n't) (VP (VB like) (NP (JJ hard) (NN rock))))))),(ROOT (S (NP (NP (DT All)) (PP (IN of) (NP (PRP$ my) (NNS cassettes)))) (VP (VBP are) (ADVP (RB definitely)) (ADJP (JJ hard) (NN rock))) (. .))),so lots of times i'll just play cassettes instead of listening to the radio actually but uh most of my cassettes i guess i don't i don't like hard rock,All of my cassettes are definitely hard rock. ,neutral,neutral
489,197239,41198,41198c,telephone,( you ( just ( need ( to ( get ( the ( you ( need ( to ( ( get ( ( the ( right mix ) ) ( of soil ) ) ) ( so ( that ( it ( ( does n't ) ( dry out ) ) ) ) ) ) ) ) ) ) ) ) ) ) ),( ( If ( ( ( you ( have ( ( the ( right mix ) ) ( of soil ) ) ) ) and ) ( it ( stays moist ) ) ) ) ( ( your vegetables ) ( ( will ( grow wonderfully ) ) . ) ) ),(ROOT (S (NP (PRP you)) (VP (ADVP (RB just)) (VBP need) (S (VP (TO to) (VP (VB get) (NP (DT the) (S (NP (PRP you)) (VP (VBP need) (S (VP (TO to) (VP (VB get) (NP (NP (DT the) (JJ right) (NN mix)) (PP (IN of) (NP (NN soil)))) (SBAR (RB so) (IN that) (S (NP (PRP it)) (VP (VBZ does) (RB n't) (VP (VB dry) (PRT (RP out)))))))))))))))))),(ROOT (S (SBAR (IN If) (S (S (NP (PRP you)) (VP (VBP have) (NP (NP (DT the) (JJ right) (NN mix)) (PP (IN of) (NP (NN soil)))))) (CC and) (S (NP (PRP it)) (VP (VBZ stays) (ADJP (JJ moist)))))) (NP (PRP$ your) (NNS vegetables)) (VP (MD will) (VP (VB grow) (NP (NNS wonderfully)))) (. .))),you just need to get the you need to get the right mix of soil so that it doesn't dry out,If you have the right mix of soil and it stays moist your vegetables will grow wonderfully.,contradiction,contradiction
411,74285,100183,100183e,slate,"( ( George Pataki ) ( , ( ( ( relented ( in exchange ) ) ( for ( ( a ( compromise plan ) ) ( that ( ( will gradually ) ( ( raise rents ) ( by ( regulating ( the ( existing regulations ) ) ) ) ) ) ) ) ) ) . ) ) )",( ( Regulating regulations ) ( ( ( is not ) ( ( an ( efficient way ) ) ( of regulating ) ) ) . ) ),"(ROOT (S (NP (NNP George) (NNP Pataki)) (, ,) (VP (VBD relented) (PP (IN in) (NP (NN exchange))) (PP (IN for) (NP (NP (DT a) (NN compromise) (NN plan)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (ADVP (RB gradually)) (VP (VB raise) (NP (NNS rents)) (PP (IN by) (S (VP (VBG regulating) (NP (DT the) (VBG existing) (NNS regulations)))))))))))) (. .)))",(ROOT (S (NP (VBG Regulating) (NNS regulations)) (VP (VBZ is) (RB not) (NP (NP (DT an) (JJ efficient) (NN way)) (PP (IN of) (S (VP (VBG regulating)))))) (. .))),"George Pataki, relented in exchange for a compromise plan that will gradually raise rents by regulating the existing regulations.",Regulating regulations is not an efficient way of regulating.,entailment,entailment
383,343830,102712,102712n,telephone,( ( no i ) ( 've ( heard ( i ( 've ( heard ( that ( ( 's ( really great ) ) though ) ) ) ) ) ) ) ),( I ( ( 've ( heard ( that ( 's great ) ) ) ) . ) ),(ROOT (S (NP (DT no) (FW i)) (VP (VBP 've) (VP (VBN heard) (SBAR (S (NP (FW i)) (VP (VBP 've) (VP (VBN heard) (SBAR (IN that) (S (VP (VBZ 's) (ADJP (RB really) (JJ great)) (ADVP (RB though))))))))))))),(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN heard) (SBAR (IN that) (S (VP (VBZ 's) (ADJP (JJ great))))))) (. .))),no i've heard i've heard that's really great though,I've heard that's great.,neutral,neutral
198,308266,120422,120422n,slate,"( What ( ( wows ( 'em ( ( ( are ( Broadway-style showstoppers ) ) , ) ( with ( ( music and ) ( ( ( ( ( ( ( lyrics ( by ( ( ( Stephen Schwartz ) , ) ( whose ( work ( has ( ( become ( ( ( less tuneful ) and ) ( more pretentious ) ) ) ( since ( ( the ( heady days ) ) ( of Godspell ) ) ) ) ) ) ) ) ) ) and ) ( ( Pippin . ) ( ( ( Schwartz 's ) rhymes ) ( are ( all ( of ( the ( moon-June variety ) ) ) ) ) ) ) ) , ) and ) ( ( ( the ( big ( inspirational number ) ) ) , ) ( ( in which ) ( hope ( is ( ( ( ( conceded sometimes ) ( to ( fly away ) ) ) , ) ( like ( ( ( silver birds ) , ) ( Who ( knows ( what ( miracles ( you ( can achieve ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( / ( When ( you believe ) ) ) ) ) ) ) ) ) ? ) )",( ( ( Schwartz 's ) rhymes ) ( ( are ( very ( ( dull and ) predictable ) ) ) . ) ),"(ROOT (SBARQ (WHNP (WP What)) (SQ (VP (VBZ wows) (SBAR (S (NP (PRP 'em)) (VP (VBP are) (NP (JJ Broadway-style) (NNS showstoppers)) (, ,) (PP (IN with) (NP (NP (NN music)) (CC and) (NP (NP (NP (NP (NNS lyrics)) (PP (IN by) (NP (NP (NNP Stephen) (NNP Schwartz)) (, ,) (SBAR (WP$ whose) (S (NP (NN work)) (VP (VBZ has) (VP (VBN become) (ADJP (ADJP (RBR less) (JJ tuneful)) (CC and) (ADJP (RBR more) (JJ pretentious))) (PP (IN since) (NP (NP (DT the) (JJ heady) (NNS days)) (PP (IN of) (NP (NNP Godspell)))))))))))) (CC and) (NP (NP (NNP Pippin) (. .)) (SBAR (S (NP (NP (NNP Schwartz) (POS 's)) (NNS rhymes)) (VP (VBP are) (NP (NP (DT all)) (PP (IN of) (NP (DT the) (JJ moon-June) (NN variety)))))))) (, ,) (CC and) (NP (NP (DT the) (JJ big) (JJ inspirational) (NN number)) (, ,) (SBAR (WHPP (IN in) (WHNP (WDT which))) (S (NP (NN hope)) (VP (VBZ is) (VP (VBN conceded) (ADVP (RB sometimes)) (S (VP (TO to) (VP (VB fly) (PRT (RP away))))) (, ,) (PP (IN like) (NP (NP (JJ silver) (NNS birds)) (, ,) (SBAR (WHNP (WP Who)) (S (VP (VBZ knows) (SBAR (WHNP (WP what)) (S (VP (VBZ miracles) (SBAR (S (NP (PRP you)) (VP (MD can) (VP (VB achieve))))))))))))))))))) (PRN (: /) (SBAR (WHADVP (WRB When)) (S (NP (PRP you)) (VP (VBP believe))))))))))))) (. ?)))",(ROOT (S (NP (NP (NNP Schwartz) (POS 's)) (NNS rhymes)) (VP (VBP are) (ADJP (RB very) (JJ dull) (CC and) (JJ predictable))) (. .))),"What wows 'em are Broadway-style showstoppers, with music and lyrics by Stephen Schwartz, whose work has become less tuneful and more pretentious since the heady days of Godspell and Pippin . Schwartz's rhymes are all of the moon-June variety, and the big inspirational number, in which hope is conceded sometimes to fly away, like silver birds,  Who knows what miracles you can achieve/ When you believe?",Schwartz's rhymes are very dull and predictable.,neutral,neutral
425,250299,28941,28941c,telephone,( ( huh-uh oh ) ( what ( ( kinds ( of things ) ) ( ( do they ) ( uh show ) ) ) ) ),( I ( ( want ( to ( see ( what ( they show ) ) ) ) ) . ) ),(ROOT (FRAG (NP (JJ huh-uh) (NNS oh)) (SBAR (WHNP (WP what)) (S (NP (NP (NNS kinds)) (PP (IN of) (NP (NNS things)))) (VP (VBP do) (NP (PRP they)) (S (INTJ (UH uh)) (VP (VB show)))))))),(ROOT (S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBP show)))))))) (. .))),huh-uh oh what kinds of things do they uh show,I want to see what they show.,contradiction,contradiction
277,296447,144501,144501n,telephone,( uh ( ( ( the ( other thing ) ) ( i ( was thinking ) ) ) ( of ( doing ( is ( ( getting ( some chemicals ) ) ( to ( ( ( ( try and ) help ) ( the process ) ) ( ( up uh ) ( ( ( a little ) more ) ( ( a little ) faster ) ) ) ) ) ) ) ) ) ) ),( ( ( Another option ) ( I ( am ( thinking of ) ) ) ) ( ( is ( getting ( some ( stuff ( to ( ( speed up ) ( the process ) ) ) ) ) ) ) . ) ),(ROOT (X (X (SYM uh)) (NP (NP (DT the) (JJ other) (NN thing)) (SBAR (S (NP (FW i)) (VP (VBD was) (VP (VBG thinking))))) (PP (IN of) (S (VP (VBG doing) (SBAR (S (VP (VBZ is) (VP (VBG getting) (NP (DT some) (NNS chemicals)) (S (VP (TO to) (VP (VB try) (CC and) (VB help) (NP (DT the) (NN process)) (PP (IN up) (NP (INTJ (UH uh))) (ADVP (ADVP (NP (DT a) (RB little)) (RBR more)) (ADVP (NP (DT a) (RB little)) (RBR faster))))))))))))))))),(ROOT (S (NP (NP (DT Another) (NN option)) (SBAR (S (NP (PRP I)) (VP (VBP am) (VP (VBG thinking) (PP (IN of))))))) (VP (VBZ is) (VP (VBG getting) (NP (DT some) (NN stuff) (S (VP (TO to) (VP (VB speed) (PRT (RP up)) (NP (DT the) (NN process)))))))) (. .))),uh the other thing i was thinking of doing is getting some chemicals to try and help the process up uh a little more a little faster,Another option I am thinking of is getting some stuff to speed up the process. ,neutral,neutral
74,339373,27698,27698n,travel,"( ( Pleasure palaces ) ( ( ( ( ( were ( a ( secondary consideration ) ) ) , ) and ) ( ( ( were ( in fact ) ) mostly ) ( additions ( by ( ( Akbar 's ) successors ) ) ) ) ) . ) )",( ( Pleasure palaces ) ( ( were ( high ( on ( the agenda ) ) ) ) . ) ),"(ROOT (S (NP (JJ Pleasure) (NNS palaces)) (VP (VBD were) (NP (DT a) (JJ secondary) (NN consideration))) (, ,) (CC and) (VP (VBD were) (PP (IN in) (NP (NN fact))) (ADVP (RB mostly)) (NP (NP (NNS additions)) (PP (IN by) (NP (NP (NNP Akbar) (POS 's)) (NNS successors))))) (. .)))",(ROOT (S (NP (JJ Pleasure) (NNS palaces)) (VP (VBD were) (ADJP (JJ high) (PP (IN on) (NP (DT the) (NN agenda))))) (. .))),"Pleasure palaces were a secondary consideration, and were in fact mostly additions by Akbar's successors.",Pleasure palaces were high on the agenda.,neutral,neutral
475,81908,64352,64352n,fiction,( We ( ( 'll ( have ( to ( dine upstairs ) ) ) ) . ) ),( We ( ( 'll ( have ( dinner upstairs ) ) ) . ) ),(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB dine) (ADVP (NN upstairs))))))) (. .))),(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB have) (NP (NN dinner) (NN upstairs)))) (. .))),We'll have to dine upstairs.,We'll have dinner upstairs.,neutral,neutral
57,46043,136937,136937n,travel,"( ( ( Another market ) ( catering ( to ( more ( traditional tastes ) ) ) ) ) ( ( ( ( is ( ( the ( Kampung Bahru ) ) ( -LRB- ( ( new village ) -RRB- ) ) ) ) , ) ( behind ( the ( Chow ( Kit area ) ) ) ) ) . ) )",( ( This market ) ( ( caters ( to ( more ( modern tastes ) ) ) ) . ) ),"(ROOT (S (NP (NP (DT Another) (NN market)) (VP (VBG catering) (PP (TO to) (NP (JJR more) (JJ traditional) (NNS tastes))))) (VP (VBZ is) (NP (NP (DT the) (NNP Kampung) (NNP Bahru)) (PRN (-LRB- -LRB-) (NP (JJ new) (NN village)) (-RRB- -RRB-))) (, ,) (PP (IN behind) (NP (DT the) (NNP Chow) (NNP Kit) (NN area)))) (. .)))",(ROOT (S (NP (DT This) (NN market)) (VP (VBZ caters) (PP (TO to) (NP (JJR more) (JJ modern) (NNS tastes)))) (. .))),"Another market catering to more traditional tastes is the Kampung Bahru (new village), behind the Chow Kit area.",This market caters to more modern tastes.,neutral,neutral
325,157917,135500,135500e,slate,( And ( it ( ( ( 's true ) ( that ( Gore ( ( is now ) ( ( doing ( the same ) ) ( to Bush ) ) ) ) ) ) . ) ) ),( Gore ( ( is ( ( ( doing ( the ( same thing ) ) ) ( to Bush ) ) ( now ( that ( he ( 's ( in office ) ) ) ) ) ) ) . ) ),(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ true)) (SBAR (IN that) (S (NP (NNP Gore)) (VP (VBZ is) (ADVP (RB now)) (VP (VBG doing) (NP (DT the) (JJ same)) (PP (TO to) (NP (NNP Bush)))))))) (. .))),(ROOT (S (NP (NNP Gore)) (VP (VBZ is) (VP (VBG doing) (NP (DT the) (JJ same) (NN thing)) (PP (TO to) (NP (NNP Bush))) (SBAR (ADVP (RB now)) (IN that) (S (NP (PRP he)) (VP (VBZ 's) (PP (IN in) (NP (NN office)))))))) (. .))),And it's true that Gore is now doing the same to Bush.,Gore is doing the same thing to Bush now that he's in office.,entailment,entailment
194,77103,2027,2027n,government,"( ( ( Consider ( ( ( January 1 ) , ) 1995 ) ) price ) ( ( increase ( for ( ( a ( ( ( one ounce ) First-Class ) letter ) ) ( from ( $ 0 ) ) ) ) ) . ) )",( ( ( The price ) ( of ( a ( first ( class letter ) ) ) ) ) ( ( did not ) ( increase ( in ( January 1995 ) ) ) ) ),"(ROOT (S (NP (ADJP (JJ Consider) (NP (NNP January) (CD 1) (, ,) (CD 1995))) (NN price)) (VP (VBP increase) (PP (IN for) (NP (NP (DT a) (ADJP (NP (CD one) (NN ounce)) (JJ First-Class)) (NN letter)) (PP (IN from) (NP ($ $) (CD 0)))))) (. .)))",(ROOT (S (NP (NP (DT The) (NN price)) (PP (IN of) (NP (DT a) (JJ first) (NN class) (NN letter)))) (VP (VBD did) (RB not) (VP (VB increase) (PP (IN in) (NP (NNP January) (CD 1995))))))),"Consider January 1, 1995 price increase for a one ounce First-Class letter from $0.",The price of a first class letter did not increase in January 1995,neutral,neutral
261,266163,54934,54934c,government,( ( ( Five percent ) ( of ( ( the allowances ) ( available ( for allocation ) ) ) ) ) ( ( will ( be auctioned ) ) . ) ),( ( ( ( More ( than five ) ) percent ) ( of allowances ) ) ( ( may ( be ( auctioned ( if ( there ( is ( a surplus ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Five) (NN percent)) (PP (IN of) (NP (NP (DT the) (NNS allowances)) (ADJP (JJ available) (PP (IN for) (NP (NN allocation))))))) (VP (MD will) (VP (VB be) (VP (VBN auctioned)))) (. .))),(ROOT (S (NP (NP (QP (JJR More) (IN than) (CD five)) (NN percent)) (PP (IN of) (NP (NNS allowances)))) (VP (MD may) (VP (VB be) (VP (VBN auctioned) (SBAR (IN if) (S (NP (EX there)) (VP (VBZ is) (NP (DT a) (NN surplus)))))))) (. .))),Five percent of the allowances available for allocation will be auctioned.,More than five percent of allowances may be auctioned if there is a surplus.,contradiction,contradiction
414,359036,4094,4094n,fiction,"( Also ( , ( ( the ( other woman ) ) ( ( ( was slowly ) ( ( edging her ) ( up ( the passage ) ) ) ) . ) ) ) )",( ( The ( other woman ) ) ( ( was ( ( edging up ) ( the passage ) ) ) . ) ),"(ROOT (S (ADVP (RB Also)) (, ,) (NP (DT the) (JJ other) (NN woman)) (VP (VBD was) (ADVP (RB slowly)) (VP (VBG edging) (NP (PRP her)) (ADVP (RB up) (NP (DT the) (NN passage))))) (. .)))",(ROOT (S (NP (DT The) (JJ other) (NN woman)) (VP (VBD was) (VP (VBG edging) (PRT (RP up)) (NP (DT the) (NN passage)))) (. .))),"Also, the other woman was slowly edging her up the passage.",The other woman was edging up the passage.,neutral,neutral
